AttractionId,Attraction,AttractionType,AttractionAddress
640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,"Jl. Monkey Forest, Ubud 80571 Indonesia"
841,Waterbom Bali,Water Parks,"Jl. Kartika Plaza, Kuta 80361 Indonesia"
673,Seminyak Beach,Beaches,Seminyak
481,Nusa Dua Beach,Beaches,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia"
650,Sanur Beach,Beaches,Sanur
824,Uluwatu Temple,Religious Sites,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia"
748,Tegalalang Rice Terrace,Points of Interest & Landmarks,"Jalan Raya Ceking, Tegalalang 80517 Indonesia"
749,Tegenungan Waterfall,Waterfalls,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia"
737,Tanah Lot Temple,Religious Sites,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia"
369,Kuta Beach - Bali,Beaches,Kuta
888,Bromo Tengger Semeru National Park,National Parks,"Asrikaton - Pakis, Malang 65100 Indonesia"
947,Mount Semeru Volcano,Volcanos,Malang Lumajang
920,Jodipan Colorful Village,Neighborhoods,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia"
975,Sempu Island,Nature & Wildlife Areas,"Sumber Manjing Wetan, Malang 65111 Indonesia"
877,Balekambang Beach,Beaches,Malang District
897,Coban Rondo Waterfall,Waterfalls,Malang District
913,Goa Cina Beach,Beaches,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia"
937,Malang City Square,Points of Interest & Landmarks,"Jl. Merdeka Utara, Malang 65119 Indonesia"
949,Museum Malang Tempo Doeloe,Speciality Museums,"Jl. Gajahmada no. 2, Malang 65119 Indonesia"
928,Khayangan Reflexology & Massage,Spas,Malang
1133,Jomblang Cave,Caverns & Caves,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia"
1137,Kalibiru National Park,National Parks,Kulon Progo
1166,Malioboro Road,Flea & Street Markets,Yogyakarta
1171,Merapi Volcano,Volcanos,Yogyakarta
1220,Ramayana Ballet at Prambanan,Ballets,Sleman
1225,Ratu Boko Temple,Ancient Ruins,Yogyakarta
1238,Sewu Temple,Ancient Ruins,Yogyakarta
1278,Ullen Sentalu Museum,History Museums,"Jl. Boyong Taman Wisata, 55581 Indonesia"
1280,Water Castle (Tamansari),Points of Interest & Landmarks,"Jl. Taman, 55133 Indonesia"
1297,Yogyakarta Palace,Historic Sites,Yogyakarta
